uid,latitude,longitude,free_bikes
295,-22.98063,-43.2132,13
313,-22.984553,-43.199943,1
352,-22.91173,-43.19511,2
351,-22.90921,-43.1832,6
305,-22.90013,-43.17902,0
349,-22.94019,-43.19166,3
350,-22.91656,-43.18829,1
353,-22.909385,-43.222671,13
357,-22.895927,-43.215529,11
356,-22.907086,-43.217758,7
354,-22.904475,-43.218258,2
355,-22.899794,-43.222834,4
362,-22.93822,-43.19518,2
361,-22.92444,-43.2092,1
364,-22.91744,-43.21128,11
366,-22.91878,-43.25074,3
367,-22.92302,-43.23444,3
363,-22.92402,-43.25465,1
372,-22.94583,-43.18253,14
373,-22.95085,-43.17622,11
71,-22.971272,-43.185557,1
287,-23.02722,-43.463301,2
148,-22.981574,-43.223721,13
111,-22.970306,-43.183725,2
28,-22.961823,-43.175519,6
150,-22.988057,-43.227707,5
46,-22.96642,-43.216724,10
262,-23.01011,-43.35092,5
375,-22.917395,-43.231146,1
376,-22.9198552,-43.2570098,2
374,-22.9547326,-43.1824354,9
377,-22.898963,-43.2259274,9
25,-22.9529579,-43.1763587,9
379,-22.949928,-43.1909853,2
370,-22.96564,-43.17886,2
24,-22.956292,-43.177169,9
52,-22.915634,-43.212431,0
82,-22.984952,-43.223151,25
383,-22.923537,-43.2131325,1
369,-23.0103797,-43.2972309,6
381,-22.901672,-43.225704,7
382,-22.9158049,-43.243872,8
185,-22.915535,-43.177851,2
100,-22.981799,-43.190875,7
384,-22.8991715,-43.2074682,5
76,-22.9731047,-43.2252855,10
93,-22.9778842,-43.2220416,9
371,-22.9141346,-43.1823567,1
183,-22.9088639,-43.169304,0
200,-22.8932617,-43.19071100000001,4
360,-22.920514999999998,-43.2087311,1
365,-22.9278852,-43.2397442,3
61,-22.9243556,-43.2422748,2
391,-22.923931,-43.2588392,1
404,-22.96971,-43.18286,7
358,-22.91383,-43.23741,7
125,-22.942719,-43.180859,9
122,-22.947821,-43.182595,10
254,-22.896688,-43.180564,1
232,-22.870154,-43.340157,18
187,-22.91791,-43.223971,1
378,-22.9057994,-43.2203959,11
416,-22.9309236,-43.2344362,2
389,-22.93894,-43.18317,0
146,-22.979209,-43.23102,8
96,-22.986497,-43.189385,10
11,-22.92074,-43.1746,6
137,-22.9353419,-43.1744096,12
17,-22.938452,-43.173577,16
442,-22.953379467196385,-43.17109629523261,2
421,-22.933015735629855,-43.18356057861562,2
142,-22.927129,-43.173542,5
264,-23.010788,-43.364867,9
241,-23.011268,-43.325769,3
240,-23.0121746,-43.3212711,3
235,-23.014507,-43.301609,14
234,-23.01446,-43.297974,12
237,-23.013687,-43.309691,10
238,-23.013824,-43.313852,2
236,-23.014772,-43.306659,9
239,-23.012993,-43.317209,7
242,-23.010631,-43.331118,1
259,-23.022885,-43.44945,1
260,-23.030275,-43.468991,0
271,-23.010769,-43.369417,2
78,-22.996072,-43.258595,3
231,-22.99956,-43.266257,7
230,-22.993594,-43.253625,7
80,-23.000536,-43.270801,11
439,-22.908778654796723,-43.222432241384226,15
118,-22.963343,-43.1697,0
57,-22.915817,-43.235028,3
117,-22.964181,-43.172378,3
345,-22.92278,-43.26436,3
114,-22.964994,-43.180422,9
109,-22.967553,-43.18733,6
159,-22.962706,-43.216168,7
37,-22.986306,-43.197449,5
86,-22.986038,-43.213832,2
27,-22.962102,-43.165407,7
214,-22.910231,-43.171988,0
212,-22.906208,-43.175917,4
213,-22.906758,-43.172874,6
344,-22.97458,-43.18787,6
136,-22.937276,-43.178053,2
5,-22.907568,-43.177804,2
346,-22.91418,-43.19595,8
